Question,Answer
How many students from the ME Infrastructure Engineering program secured placements in companies during the academic year 2020-2021?,1 students from the ME Infrastructure Engineering program secured placements in companies during the academic year 2020-2021.
What was the minimum salary per annum offered to graduates of the ME Infrastructure Engineering program in the academic year 2022-2023?,"The minimum salary per annum offered to graduates of the ME Infrastructure Engineering program in the academic year 2022-2023 was Rs. 6,34,000."
What was the minimum salary per annum offered to graduates of the ME Infrastructure Engineering program in the academic year 2021-2022?,"The minimum salary per annum offered to graduates of the ME Infrastructure Engineering program in the academic year 2021-2022 was Rs. 6,11,000."
What was the minimum salary per annum offered to graduates of the ME Infrastructure Engineering program in the academic year 2020-2021?,"The minimum salary per annum offered to graduates of the ME Infrastructure Engineering program in the academic year 2020-2021 was Rs. 6,11,000."
What was the maximum salary per annum offered to graduates of the ME Infrastructure Engineering program in the academic year 2022-2023?,"The maximum salary per annum offered to graduates of the ME Infrastructure Engineering program in the academic year 2022-2023 was Rs. 6,34,000."
What was the maximum salary per annum offered to graduates of the ME Infrastructure Engineering program in the academic year 2021-2022?,"The maximum salary per annum offered to graduates of the ME Infrastructure Engineering program in the academic year 2021-2022 was Rs. 6,11,000."
What was the maximum salary per annum offered to graduates of the ME Infrastructure Engineering program in the academic year 2020-2021?,"The maximum salary per annum offered to graduates of the ME Infrastructure Engineering program in the academic year 2020-2021 was Rs. 6,11,000."
What was the average salary per annum offered to graduates of the ME Infrastructure Engineering program in the academic year 2022-2023?,"The average salary per annum offered to graduates of the ME Infrastructure Engineering program in the academic year 2022-2023 was Rs. 6,34,000."
What was the average salary per annum offered to graduates of the ME Infrastructure Engineering program in the academic year 2021-2022?,"The average salary per annum offered to graduates of the ME Infrastructure Engineering program in the academic year 2021-2022 was Rs. 6,11,000."
What was the average salary per annum offered to graduates of the ME Infrastructure Engineering program in the academic year 2020-2021?,"The average salary per annum offered to graduates of the ME Infrastructure Engineering program in the academic year 2020-2021 was Rs. 6,11,000."
How many students from the ME Structural Engineering program secured placements in companies during the academic year 2022-2023?,6 students from the ME Structural Engineering program secured placements in companies during the academic year 2022-2023.
How many students from the ME Structural Engineering program secured placements in companies during the academic year 2021-2022?,6 students from the ME Structural Engineering program secured placements in companies during the academic year 2021-2022.
How many students from the ME Structural Engineering program secured placements in companies during the academic year 2020-2021?,6 students from the ME Structural Engineering program secured placements in companies during the academic year 2020-2021.
What was the minimum salary per annum offered to graduates of the ME Structural Engineering program in the academic year 2022-2023?,"The minimum salary per annum offered to graduates of the ME Structural Engineering program in the academic year 2022-2023 was Rs. 6,00,000."
What was the minimum salary per annum offered to graduates of the ME Structural Engineering program in the academic year 2021-2022?,"The minimum salary per annum offered to graduates of the ME Structural Engineering program in the academic year 2021-2022 was Rs. 4,00,008."
What was the minimum salary per annum offered to graduates of the ME Structural Engineering program in the academic year 2020-2021?,"The minimum salary per annum offered to graduates of the ME Structural Engineering program in the academic year 2020-2021 was Rs. 5,12,000."
What was the maximum salary per annum offered to graduates of the ME Structural Engineering program in the academic year 2022-2023?,"The maximum salary per annum offered to graduates of the ME Structural Engineering program in the academic year 2022-2023 was Rs. 6,34,000."
What was the maximum salary per annum offered to graduates of the ME Structural Engineering program in the academic year 2021-2022?,"The maximum salary per annum offered to graduates of the ME Structural Engineering program in the academic year 2021-2022 was Rs. 6,33,333."
What was the maximum salary per annum offered to graduates of the ME Structural Engineering program in the academic year 2020-2021?,"The maximum salary per annum offered to graduates of the ME Structural Engineering program in the academic year 2020-2021 was Rs. 6,11,000."
What was the average salary per annum offered to graduates of the ME Structural Engineering program in the academic year 2022-2023?,"The average salary per annum offered to graduates of the ME Structural Engineering program in the academic year 2022-2023 was Rs. 6,20,400."
What was the average salary per annum offered to graduates of the ME Structural Engineering program in the academic year 2021-2022?,"The average salary per annum offered to graduates of the ME Structural Engineering program in the academic year 2021-2022 was Rs. 5,93,335."
What was the average salary per annum offered to graduates of the ME Structural Engineering program in the academic year 2020-2021?,"The average salary per annum offered to graduates of the ME Structural Engineering program in the academic year 2020-2021 was Rs. 4,96,167."
How many students from the BE Computer Science & Engineering program secured placements in companies during the academic year 2022-2023?,101 students from the BE Computer Science & Engineering program secured placements in companies during the academic year 2022-2023.
How many students from the BE Computer Science & Engineering program secured placements in companies during the academic year 2021-2022?,117 students from the BE Computer Science & Engineering program secured placements in companies during the academic year 2021-2022.
How many students from the BE Computer Science & Engineering program secured placements in companies during the academic year 2020-2021?,105 students from the BE Computer Science & Engineering program secured placements in companies during the academic year 2020-2021.
What was the minimum salary per annum offered to graduates of the BE Computer Science & Engineering program in the academic year 2022-2023?,"The minimum salary per annum offered to graduates of the BE Computer Science & Engineering program in the academic year 2022-2023 was Rs. 7,00,000."
What was the minimum salary per annum offered to graduates of the BE Computer Science & Engineering program in the academic year 2021-2022?,"The minimum salary per annum offered to graduates of the BE Computer Science & Engineering program in the academic year 2021-2022 was Rs. 3,60,000."
What was the minimum salary per annum offered to graduates of the BE Computer Science & Engineering program in the academic year 2020-2021?,"The minimum salary per annum offered to graduates of the BE Computer Science & Engineering program in the academic year 2020-2021 was Rs. 3,00,000."
What was the maximum salary per annum offered to graduates of the BE Computer Science & Engineering program in the academic year 2022-2023?,"The maximum salary per annum offered to graduates of the BE Computer Science & Engineering program in the academic year 2022-2023 was Rs. 34,40,000."
What was the maximum salary per annum offered to graduates of the BE Computer Science & Engineering program in the academic year 2021-2022?,"The maximum salary per annum offered to graduates of the BE Computer Science & Engineering program in the academic year 2021-2022 was Rs. 45,60,000."
What was the maximum salary per annum offered to graduates of the BE Computer Science & Engineering program in the academic year 2020-2021?,"The maximum salary per annum offered to graduates of the BE Computer Science & Engineering program in the academic year 2020-2021 was Rs. 24,47,187."
What was the average salary per annum offered to graduates of the BE Computer Science & Engineering program in the academic year 2022-2023?,"The average salary per annum offered to graduates of the BE Computer Science & Engineering program in the academic year 2022-2023 was Rs. 15,59,983."
What was the average salary per annum offered to graduates of the BE Computer Science & Engineering program in the academic year 2021-2022?,"The average salary per annum offered to graduates of the BE Computer Science & Engineering program in the academic year 2021-2022 was Rs. 12,31,218."
What was the average salary per annum offered to graduates of the BE Computer Science & Engineering program in the academic year 2020-2021?,"The average salary per annum offered to graduates of the BE Computer Science & Engineering program in the academic year 2020-2021 was Rs. 9,52,038."
How many students from the ME Computer Science & Engineering program secured placements in companies during the academic year 2022-2023?,1 students from the ME Computer Science & Engineering program secured placements in companies during the academic year 2022-2023.
How many students from the ME Computer Science & Engineering program secured placements in companies during the academic year 2021-2022?,11 students from the ME Computer Science & Engineering program secured placements in companies during the academic year 2021-2022.
How many students from the ME Computer Science & Engineering program secured placements in companies during the academic year 2020-2021?,7 students from the ME Computer Science & Engineering program secured placements in companies during the academic year 2020-2021.
What was the minimum salary per annum offered to graduates of the ME Computer Science & Engineering program in the academic year 2022-2023?,"The minimum salary per annum offered to graduates of the ME Computer Science & Engineering program in the academic year 2022-2023 was Rs. 9,00,000."
What was the minimum salary per annum offered to graduates of the ME Computer Science & Engineering program in the academic year 2021-2022?,"The minimum salary per annum offered to graduates of the ME Computer Science & Engineering program in the academic year 2021-2022 was Rs. 4,01,988."
What was the minimum salary per annum offered to graduates of the ME Computer Science & Engineering program in the academic year 2020-2021?,"The minimum salary per annum offered to graduates of the ME Computer Science & Engineering program in the academic year 2020-2021 was Rs. 3,53,578."
What was the maximum salary per annum offered to graduates of the ME Computer Science & Engineering program in the academic year 2022-2023?,"The maximum salary per annum offered to graduates of the ME Computer Science & Engineering program in the academic year 2022-2023 was Rs. 9,00,000."
What was the maximum salary per annum offered to graduates of the ME Computer Science & Engineering program in the academic year 2021-2022?,"The maximum salary per annum offered to graduates of the ME Computer Science & Engineering program in the academic year 2021-2022 was Rs. 24,94,600."
What was the maximum salary per annum offered to graduates of the ME Computer Science & Engineering program in the academic year 2020-2021?,"The maximum salary per annum offered to graduates of the ME Computer Science & Engineering program in the academic year 2020-2021 was Rs. 7,00,000."
What was the average salary per annum offered to graduates of the ME Computer Science & Engineering program in the academic year 2022-2023?,"The average salary per annum offered to graduates of the ME Computer Science & Engineering program in the academic year 2022-2023 was Rs. 9,00,000."
What was the average salary per annum offered to graduates of the ME Computer Science & Engineering program in the academic year 2021-2022?,"The average salary per annum offered to graduates of the ME Computer Science & Engineering program in the academic year 2021-2022 was Rs. 10,43,478."
What was the average salary per annum offered to graduates of the ME Computer Science & Engineering program in the academic year 2020-2021?,"The average salary per annum offered to graduates of the ME Computer Science & Engineering program in the academic year 2020-2021 was Rs. 4,03,400."
How many students from the BE Electrical & Electronics Engineering program secured placements in companies during the academic year 2022-2023?,57 students from the BE Electrical & Electronics Engineering program secured placements in companies during the academic year 2022-2023.
How many students from the BE Electrical & Electronics Engineering program secured placements in companies during the academic year 2021-2022?,48 students from the BE Electrical & Electronics Engineering program secured placements in companies during the academic year 2021-2022.
How many students from the BE Electrical & Electronics Engineering program secured placements in companies during the academic year 2020-2021?,38 students from the BE Electrical & Electronics Engineering program secured placements in companies during the academic year 2020-2021.
What was the minimum salary per annum offered to graduates of the BE Electrical & Electronics Engineering program in the academic year 2022-2023?,"The minimum salary per annum offered to graduates of the BE Electrical & Electronics Engineering program in the academic year 2022-2023 was Rs. 4,00,000."
What was the minimum salary per annum offered to graduates of the BE Electrical & Electronics Engineering program in the academic year 2021-2022?,"The minimum salary per annum offered to graduates of the BE Electrical & Electronics Engineering program in the academic year 2021-2022 was Rs. 3,50,000."
What was the minimum salary per annum offered to graduates of the BE Electrical & Electronics Engineering program in the academic year 2020-2021?,"The minimum salary per annum offered to graduates of the BE Electrical & Electronics Engineering program in the academic year 2020-2021 was Rs. 3,36,877."
What was the maximum salary per annum offered to graduates of the BE Electrical & Electronics Engineering program in the academic year 2022-2023?,"The maximum salary per annum offered to graduates of the BE Electrical & Electronics Engineering program in the academic year 2022-2023 was Rs. 25,77,000."
What was the maximum salary per annum offered to graduates of the BE Electrical & Electronics Engineering program in the academic year 2021-2022?,"The maximum salary per annum offered to graduates of the BE Electrical & Electronics Engineering program in the academic year 2021-2022 was Rs. 33,36,765."
What was the maximum salary per annum offered to graduates of the BE Electrical & Electronics Engineering program in the academic year 2020-2021?,"The maximum salary per annum offered to graduates of the BE Electrical & Electronics Engineering program in the academic year 2020-2021 was Rs. 24,47,187."
What was the average salary per annum offered to graduates of the BE Electrical & Electronics Engineering program in the academic year 2022-2023?,"The average salary per annum offered to graduates of the BE Electrical & Electronics Engineering program in the academic year 2022-2023 was Rs. 8,69,472."
What was the average salary per annum offered to graduates of the BE Electrical & Electronics Engineering program in the academic year 2021-2022?,"The average salary per annum offered to graduates of the BE Electrical & Electronics Engineering program in the academic year 2021-2022 was Rs. 8,90,622."
What was the average salary per annum offered to graduates of the BE Electrical & Electronics Engineering program in the academic year 2020-2021?,"The average salary per annum offered to graduates of the BE Electrical & Electronics Engineering program in the academic year 2020-2021 was Rs. 8,22,060."
How many students from the BE Electrical & Electronics Engineering (SW) program secured placements in companies during the academic year 2022-2023?,51 students from the BE Electrical & Electronics Engineering (SW) program secured placements in companies during the academic year 2022-2023.
How many students from the BE Electrical & Electronics Engineering (SW) program secured placements in companies during the academic year 2021-2022?,50 students from the BE Electrical & Electronics Engineering (SW) program secured placements in companies during the academic year 2021-2022.
How many students from the BE Electrical & Electronics Engineering (SW) program secured placements in companies during the academic year 2020-2021?,37 students from the BE Electrical & Electronics Engineering (SW) program secured placements in companies during the academic year 2020-2021.
What was the minimum salary per annum offered to graduates of the BE Electrical & Electronics Engineering (SW) program in the academic year 2022-2023?,"The minimum salary per annum offered to graduates of the BE Electrical & Electronics Engineering (SW) program in the academic year 2022-2023 was Rs. 4,00,000."
What was the minimum salary per annum offered to graduates of the BE Electrical & Electronics Engineering (SW) program in the academic year 2021-2022?,"The minimum salary per annum offered to graduates of the BE Electrical & Electronics Engineering (SW) program in the academic year 2021-2022 was Rs. 4,00,000."
What was the minimum salary per annum offered to graduates of the BE Electrical & Electronics Engineering (SW) program in the academic year 2020-2021?,"The minimum salary per annum offered to graduates of the BE Electrical & Electronics Engineering (SW) program in the academic year 2020-2021 was Rs. 3,36,877."
What was the maximum salary per annum offered to graduates of the BE Electrical & Electronics Engineering (SW) program in the academic year 2022-2023?,"The maximum salary per annum offered to graduates of the BE Electrical & Electronics Engineering (SW) program in the academic year 2022-2023 was Rs. 18,80,292."
What was the maximum salary per annum offered to graduates of the BE Electrical & Electronics Engineering (SW) program in the academic year 2021-2022?,"The maximum salary per annum offered to graduates of the BE Electrical & Electronics Engineering (SW) program in the academic year 2021-2022 was Rs. 33,36,765."
What was the maximum salary per annum offered to graduates of the BE Electrical & Electronics Engineering (SW) program in the academic year 2020-2021?,"The maximum salary per annum offered to graduates of the BE Electrical & Electronics Engineering (SW) program in the academic year 2020-2021 was Rs. 24,47,187."
What was the average salary per annum offered to graduates of the BE Electrical & Electronics Engineering (SW) program in the academic year 2022-2023?,"The average salary per annum offered to graduates of the BE Electrical & Electronics Engineering (SW) program in the academic year 2022-2023 was Rs. 9,16,816."
What was the average salary per annum offered to graduates of the BE Electrical & Electronics Engineering (SW) program in the academic year 2021-2022?,"The average salary per annum offered to graduates of the BE Electrical & Electronics Engineering (SW) program in the academic year 2021-2022 was Rs. 7,46,429."
What was the average salary per annum offered to graduates of the BE Electrical & Electronics Engineering (SW) program in the academic year 2020-2021?,"The average salary per annum offered to graduates of the BE Electrical & Electronics Engineering (SW) program in the academic year 2020-2021 was Rs. 7,40,516."
How many students from the ME Applied Electronics program secured placements in companies during the academic year 2022-2023?,No students from the ME Applied Electronics program secured placements in companies during the academic year 2022-2023.
How many students from the ME Applied Electronics program secured placements in companies during the academic year 2021-2022?,3 students from the ME Applied Electronics program secured placements in companies during the academic year 2021-2022.
How many students from the ME Applied Electronics program secured placements in companies during the academic year 2020-2021?,7 students from the ME Applied Electronics program secured placements in companies during the academic year 2020-2021.
What was the minimum salary per annum offered to graduates of the ME Applied Electronics program in the academic year 2022-2023?,No information available for the minimum salary per annum offered to graduates of the ME Applied Electronics program in the academic year 2022-2023.
What was the minimum salary per annum offered to graduates of the ME Applied Electronics program in the academic year 2021-2022?,"The minimum salary per annum offered to graduates of the ME Applied Electronics program in the academic year 2021-2022 was Rs. 7,50,000."
What was the minimum salary per annum offered to graduates of the ME Applied Electronics program in the academic year 2020-2021?,"The minimum salary per annum offered to graduates of the ME Applied Electronics program in the academic year 2020-2021 was Rs. 3,53,578."
What was the maximum salary per annum offered to graduates of the ME Applied Electronics program in the academic year 2022-2023?,No information available for the maximum salary per annum offered to graduates of the ME Applied Electronics program in the academic year 2022-2023.
What was the maximum salary per annum offered to graduates of the ME Applied Electronics program in the academic year 2021-2022?,"The maximum salary per annum offered to graduates of the ME Applied Electronics program in the academic year 2021-2022 was Rs. 11,00,000."
What was the maximum salary per annum offered to graduates of the ME Applied Electronics program in the academic year 2020-2021?,"The maximum salary per annum offered to graduates of the ME Applied Electronics program in the academic year 2020-2021 was Rs. 30,22,026."
What was the average salary per annum offered to graduates of the ME Applied Electronics program in the academic year 2022-2023?,No information available for the average salary per annum offered to graduates of the ME Applied Electronics program in the academic year 2022-2023.
What was the average salary per annum offered to graduates of the ME Applied Electronics program in the academic year 2021-2022?,"The average salary per annum offered to graduates of the ME Applied Electronics program in the academic year 2021-2022 was Rs. 9,69,451."
What was the average salary per annum offered to graduates of the ME Applied Electronics program in the academic year 2020-2021?,"The average salary per annum offered to graduates of the ME Applied Electronics program in the academic year 2020-2021 was Rs. 8,93,494."
How many students from the ME Embedded & Real Time Systems program secured placements in companies during the academic year 2022-2023?,8 students from the ME Embedded & Real Time Systems program secured placements in companies during the academic year 2022-2023.
How many students from the ME Embedded & Real Time Systems program secured placements in companies during the academic year 2021-2022?,13 students from the ME Embedded & Real Time Systems program secured placements in companies during the academic year 2021-2022.
How many students from the ME Embedded & Real Time Systems program secured placements in companies during the academic year 2020-2021?,10 students from the ME Embedded & Real Time Systems program secured placements in companies during the academic year 2020-2021.
What was the minimum salary per annum offered to graduates of the ME Embedded & Real Time Systems program in the academic year 2022-2023?,"The minimum salary per annum offered to graduates of the ME Embedded & Real Time Systems program in the academic year 2022-2023 was Rs. 7,00,000."
What was the minimum salary per annum offered to graduates of the ME Embedded & Real Time Systems program in the academic year 2021-2022?,"The minimum salary per annum offered to graduates of the ME Embedded & Real Time Systems program in the academic year 2021-2022 was Rs. 4,01,988."
What was the minimum salary per annum offered to graduates of the ME Embedded & Real Time Systems program in the academic year 2020-2021?,The minimum salary per annum offered to graduates of the ME Embedded & Real Time Systems program in the academic year 2020-2021 was Rs. 3.53.578.
What was the maximum salary per annum offered to graduates of the ME Embedded & Real Time Systems program in the academic year 2022-2023?,"The maximum salary per annum offered to graduates of the ME Embedded & Real Time Systems program in the academic year 2022-2023 was Rs. 25,77,000."
What was the maximum salary per annum offered to graduates of the ME Embedded & Real Time Systems program in the academic year 2021-2022?,"The maximum salary per annum offered to graduates of the ME Embedded & Real Time Systems program in the academic year 2021-2022 was Rs. 21,17,550."
What was the maximum salary per annum offered to graduates of the ME Embedded & Real Time Systems program in the academic year 2020-2021?,"The maximum salary per annum offered to graduates of the ME Embedded & Real Time Systems program in the academic year 2020-2021 was Rs. 12,13,674."
What was the average salary per annum offered to graduates of the ME Embedded & Real Time Systems program in the academic year 2022-2023?,"The average salary per annum offered to graduates of the ME Embedded & Real Time Systems program in the academic year 2022-2023 was Rs. 15,17,239."
What was the average salary per annum offered to graduates of the ME Embedded & Real Time Systems program in the academic year 2021-2022?,"The average salary per annum offered to graduates of the ME Embedded & Real Time Systems program in the academic year 2021-2022 was Rs. 8,32,272."
What was the average salary per annum offered to graduates of the ME Embedded & Real Time Systems program in the academic year 2020-2021?,"The average salary per annum offered to graduates of the ME Embedded & Real Time Systems program in the academic year 2020-2021 was Rs. 7,92,118."
How many students from the ME Power Electronics & Drives program secured placements in companies during the academic year 2022-2023?,4 students from the ME Power Electronics & Drives program secured placements in companies during the academic year 2022-2023.
How many students from the ME Power Electronics & Drives program secured placements in companies during the academic year 2021-2022?,10 students from the ME Power Electronics & Drives program secured placements in companies during the academic year 2021-2022.
How many students from the ME Power Electronics & Drives program secured placements in companies during the academic year 2020-2021?,14 students from the ME Power Electronics & Drives program secured placements in companies during the academic year 2020-2021.
What was the minimum salary per annum offered to graduates of the ME Power Electronics & Drives program in the academic year 2022-2023?,"The minimum salary per annum offered to graduates of the ME Power Electronics & Drives program in the academic year 2022-2023 was Rs. 7,50,000."
What was the minimum salary per annum offered to graduates of the ME Power Electronics & Drives program in the academic year 2021-2022?,"The minimum salary per annum offered to graduates of the ME Power Electronics & Drives program in the academic year 2021-2022 was Rs. 4,01,988."
What was the minimum salary per annum offered to graduates of the ME Power Electronics & Drives program in the academic year 2020-2021?,"The minimum salary per annum offered to graduates of the ME Power Electronics & Drives program in the academic year 2020-2021 was Rs. 3,60,000."
